disease,description
acne,"Acne is a common skin condition where hair follicles become clogged with oil and dead skin cells. It often causes pimples, blackheads, and inflammation, especially on the face, chest, and back."
actinic_keratosis,"Actinic Keratosis appears as rough, scaly patches on sun-exposed skin. It is caused by long-term UV damage and can sometimes progress to skin cancer if untreated."
benign_tumors,"Benign Tumors are non-cancerous growths that may appear on the skin. They do not spread to other parts of the body but can vary in size, shape, and appearance."
bullous,"Bullous diseases are characterized by large fluid-filled blisters on the skin or mucous membranes. They often result from autoimmune reactions or genetic conditions."
candidiasis,"Candidiasis is a fungal infection caused by Candida species. It commonly affects moist areas of the skin, leading to redness, itching, and white patches."
drug_eruption,"Drug Eruption is a skin reaction triggered by certain medications. It may cause rashes, redness, or blisters, and usually resolves once the drug is discontinued."
eczema,"Eczema is an inflammatory skin condition that causes itching, redness, and dryness. It often flares up due to allergens, irritants, or stress and can be chronic."
infestations_bites,"Infestations and Bites occur when insects, mites, or parasites affect the skin. They typically cause itching, swelling, and sometimes secondary infections."
lichen,"Lichen planus is a chronic inflammatory condition that produces flat-topped, itchy, purple lesions. It can affect the skin, scalp, nails, and mucous membranes."
lupus,"Lupus is an autoimmune disease that can cause skin rashes, joint pain, and organ inflammation. Skin involvement often appears as red patches or butterfly-shaped facial rashes."
moles,"Moles are clusters of pigmented cells that appear as small dark spots on the skin. Most are harmless, but changes in size or color may require medical evaluation."
psoriasis,"Psoriasis is a chronic autoimmune condition that leads to red, scaly, and itchy patches. It often affects the scalp, elbows, knees, and lower back."
rosacea,"Rosacea is a chronic skin condition causing facial redness, visible blood vessels, and acne-like bumps. It often flares with heat, stress, or certain foods."
seborrh_keratoses,"Seborrheic Keratoses are common non-cancerous growths that appear as brown, black, or light-colored lesions. They often look waxy or wart-like and increase with age."
skin_cancer,"Skin Cancer is the uncontrolled growth of abnormal skin cells. It is often linked to UV exposure and can appear as new or changing lesions."
sun_sunlight_damage,"Sun Damage refers to skin changes caused by prolonged UV exposure. It can lead to wrinkles, dark spots, rough texture, and increased cancer risk."
tinea,"Tinea also known as ringworm is a fungal infection of the skin. It causes circular itchy rashes and can affect the scalp, feet, or body."
unknown_normal,"Unknown or Normal findings are skin changes that are benign or not classified into a specific disease. They usually do not require treatment."
vascular_tumors,"Vascular Tumors are abnormal growths of blood vessels in the skin. They often appear as red or purple lesions and may be congenital or acquired."
vasculitis,"Vasculitis is inflammation of blood vessels that can cause rashes, ulcers, and systemic symptoms. It may result from autoimmune or infectious causes."
vitiligo,"Vitiligo is a condition where pigment-producing cells are destroyed. This leads to white patches on the skin that can spread over time."
warts,"Warts are small, rough growths caused by human papillomavirus (HPV). They are contagious and often appear on the hands, feet, or face."